resume_text,job_description,match_score
"Python developer with SQL, pandas, machine learning, data cleaning, classification, and dashboard experience.","Data analyst needed with Python, SQL, data cleaning, pandas, classification models, and reporting dashboards.",92
"Frontend developer skilled in HTML, CSS, JavaScript, React, responsive design, and UI testing.","React frontend engineer needed for JavaScript, HTML, CSS, responsive UI, accessibility, and component testing.",88
"Cybersecurity student with network security, Linux, risk assessment, incident response, and Python scripting.","Security analyst role requiring Linux, network security, incident response, SIEM monitoring, risk assessment, and scripting.",84
"NLP project experience with tokenization, TF-IDF, text classification, Python, evaluation metrics, and preprocessing.","NLP engineer intern needed for text preprocessing, tokenization, TF-IDF, classification, Python, and model evaluation.",94
"Data science resume with Python, machine learning, regression, classification, model evaluation, and visualization.","Machine learning intern required with Python, regression, classification, evaluation metrics, and data visualization.",90
"Database administrator with SQL, backup recovery, performance tuning, stored procedures, and database design.","Database role requiring SQL, database design, backup recovery, stored procedures, and query performance tuning.",86
"Mobile app developer with Kotlin, Android Studio, Firebase, REST APIs, and UI design.","Android developer needed with Kotlin, Firebase, REST APIs, Android Studio, and mobile UI implementation.",91
"Cloud computing student with AWS, Docker, Linux, CI CD, monitoring, and deployment skills.","DevOps intern required with AWS, Docker, Linux, CI/CD pipelines, deployment automation, and monitoring.",87
"Graphic designer with Photoshop, Illustrator, typography, branding, and social media design.","Backend developer needed with Python, REST APIs, databases, authentication, and unit testing.",22
"English teacher with lesson planning, classroom management, curriculum design, and student assessment.","Data engineer role requiring Python, SQL, ETL, Spark, data pipelines, and cloud storage.",18
"Accountant with Excel, financial reporting, bookkeeping, budgeting, and tax preparation.","Cybersecurity analyst needed with SIEM, incident response, Linux, network security, and threat analysis.",15
"Customer service representative with communication, CRM, complaint handling, and phone support.","NLP engineer role requiring Python, transformers, text classification, tokenization, and evaluation metrics.",20
"Software engineer with Java, Spring Boot, REST APIs, SQL, unit testing, and Git.","Backend engineer needed with Java, Spring Boot, REST APIs, SQL databases, Git, and automated testing.",93
"AI student with Python, neural networks, transformers, NLP, sentiment analysis, and model fine tuning.","AI/NLP intern needed with Python, transformers, neural networks, sentiment analysis, fine tuning, and evaluation.",95
"Project coordinator with scheduling, documentation, stakeholder communication, and risk tracking.","Project management assistant needed with scheduling, documentation, communication, stakeholder coordination, and risk logs.",82
"Marketing specialist with SEO, content writing, analytics, social media campaigns, and email marketing.","Digital marketing role requiring SEO, content writing, analytics, email campaigns, and social media strategy.",89
"Mechanical engineer with AutoCAD, manufacturing, quality control, safety standards, and maintenance.","Machine learning role requiring Python, NLP, classification, feature engineering, and model evaluation.",12
"Student with basic Microsoft Office, teamwork, presentations, and communication skills.","Junior data analyst required with Excel, SQL, Python, data cleaning, charts, and reporting.",46
"Python beginner with simple scripts, Excel, basic SQL, and university data analysis project.","Entry data analyst needed with Excel, SQL, Python basics, data cleaning, and reporting.",72
"Network technician with routers, switches, TCP/IP, troubleshooting, cabling, and Linux basics.","Network support role requiring TCP/IP, routers, switches, troubleshooting, cabling, and Linux.",90
